Name;Episode;Step;RecircArea
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;100;0.0363015
Simu_maxF1.0_NbAct50_area;1;200;0.0370494
Simu_maxF1.0_NbAct50_area;1;300;0.0375218
Simu_maxF1.0_NbAct50_area;1;400;0.0373487
Simu_maxF1.0_NbAct50_area;1;500;0.0372417
Simu_maxF1.0_NbAct50_area;1;600;0.0374922
Simu_maxF1.0_NbAct50_area;1;700;0.0369383
Simu_maxF1.0_NbAct50_area;1;800;0.0368597
Simu_maxF1.0_NbAct50_area;1;900;0.0363134
Simu_maxF1.0_NbAct50_area;1;1000;0.0357243
Simu_maxF1.0_NbAct50_area;1;1100;0.0352435
Simu_maxF1.0_NbAct50_area;1;1200;0.034744
Simu_maxF1.0_NbAct50_area;1;1300;0.0345071
Simu_maxF1.0_NbAct50_area;1;1400;0.0332886
Simu_maxF1.0_NbAct50_area;1;1500;0.0323102
Simu_maxF1.0_NbAct50_area;1;1600;0.0327373
Simu_maxF1.0_NbAct50_area;1;1700;0.0311206
Simu_maxF1.0_NbAct50_area;1;1800;0.0264642
Simu_maxF1.0_NbAct50_area;1;1900;0.0247963
Simu_maxF1.0_NbAct50_area;1;2000;0.0239273
Simu_maxF1.0_NbAct50_area;1;2100;0.0250003
Simu_maxF1.0_NbAct50_area;1;2200;0.0258209
Simu_maxF1.0_NbAct50_area;1;2300;0.0261632
Simu_maxF1.0_NbAct50_area;1;2400;0.0261181
Simu_maxF1.0_NbAct50_area;1;2500;0.0270662
Simu_maxF1.0_NbAct50_area;1;2600;0.027293
Simu_maxF1.0_NbAct50_area;1;2700;0.028241
Simu_maxF1.0_NbAct50_area;1;2800;0.0285424
Simu_maxF1.0_NbAct50_area;1;2900;0.0289534
Simu_maxF1.0_NbAct50_area;1;3000;0.0293059
Simu_maxF1.0_NbAct50_area;1;3100;0.0295972
Simu_maxF1.0_NbAct50_area;1;3200;0.0298274
Simu_maxF1.0_NbAct50_area;1;3300;0.0301129
Simu_maxF1.0_NbAct50_area;1;3400;0.0298887
Simu_maxF1.0_NbAct50_area;1;3500;0.0295281
Simu_maxF1.0_NbAct50_area;1;3600;0.0294699
Simu_maxF1.0_NbAct50_area;1;3700;0.0293439
Simu_maxF1.0_NbAct50_area;1;3800;0.0278135
Simu_maxF1.0_NbAct50_area;1;3900;0.0246561
Simu_maxF1.0_NbAct50_area;1;4000;0.0252955
Simu_maxF1.0_NbAct50_area;1;4100;0.0259661
Simu_maxF1.0_NbAct50_area;1;4200;0.0255745
Simu_maxF1.0_NbAct50_area;1;4300;0.0257106
Simu_maxF1.0_NbAct50_area;1;4400;0.0260171
Simu_maxF1.0_NbAct50_area;1;4500;0.0255188
Simu_maxF1.0_NbAct50_area;1;4600;0.0264694
Simu_maxF1.0_NbAct50_area;1;4700;0.0270988
Simu_maxF1.0_NbAct50_area;1;4800;0.0275926
Simu_maxF1.0_NbAct50_area;1;4900;0.0283018
Simu_maxF1.0_NbAct50_area;1;5000;0.0287161
Simu_maxF1.0_NbAct50_area;1;5100;0.0285061
Simu_maxF1.0_NbAct50_area;1;5200;0.0283856
Simu_maxF1.0_NbAct50_area;1;5300;0.0290901
Simu_maxF1.0_NbAct50_area;1;5400;0.0293892
Simu_maxF1.0_NbAct50_area;1;5500;0.028895
Simu_maxF1.0_NbAct50_area;1;5600;0.0284672
Simu_maxF1.0_NbAct50_area;1;5700;0.0286903
Simu_maxF1.0_NbAct50_area;1;5800;0.0272301
Simu_maxF1.0_NbAct50_area;1;5900;0.0244771
Simu_maxF1.0_NbAct50_area;1;6000;0.0247298
Simu_maxF1.0_NbAct50_area;1;6100;0.0246922
