Name;Episode;Step;RecircArea
Simu_maxF1.0_NbAct100_area;0;0;0.0352724
Simu_maxF1.0_NbAct100_area;0;0;0.0352724
Simu_maxF1.0_NbAct100_area;1;0;0.0352724
Simu_maxF1.0_NbAct100_area;1;100;0.0352165
Simu_maxF1.0_NbAct100_area;1;200;0.0326689
Simu_maxF1.0_NbAct100_area;1;300;0.0302868
Simu_maxF1.0_NbAct100_area;1;400;0.0288339
Simu_maxF1.0_NbAct100_area;1;500;0.0369122
Simu_maxF1.0_NbAct100_area;1;600;0.0438697
Simu_maxF1.0_NbAct100_area;1;700;0.0473391
Simu_maxF1.0_NbAct100_area;1;800;0.0183585
Simu_maxF1.0_NbAct100_area;1;900;0.0385798
Simu_maxF1.0_NbAct100_area;1;1000;0.037654
Simu_maxF1.0_NbAct100_area;1;1100;0.032664
Simu_maxF1.0_NbAct100_area;1;1200;0.0328368
Simu_maxF1.0_NbAct100_area;1;1300;0.0365628
Simu_maxF1.0_NbAct100_area;1;1400;0.0396054
Simu_maxF1.0_NbAct100_area;1;1500;0.0382422
Simu_maxF1.0_NbAct100_area;1;1600;0.0253444
Simu_maxF1.0_NbAct100_area;1;1700;0.0401515
Simu_maxF1.0_NbAct100_area;1;1800;0.0353925
Simu_maxF1.0_NbAct100_area;1;1900;0.04043
Simu_maxF1.0_NbAct100_area;1;2000;0.0408089
Simu_maxF1.0_NbAct100_area;1;2100;0.0400755
Simu_maxF1.0_NbAct100_area;1;2200;0.044759
Simu_maxF1.0_NbAct100_area;1;2300;0.0524333
Simu_maxF1.0_NbAct100_area;1;2400;0.0436733
Simu_maxF1.0_NbAct100_area;1;2500;0.0404733
Simu_maxF1.0_NbAct100_area;1;2600;0.0459949
Simu_maxF1.0_NbAct100_area;1;2700;0.0395175
Simu_maxF1.0_NbAct100_area;1;2800;0.040567
Simu_maxF1.0_NbAct100_area;1;2900;0.0397284
Simu_maxF1.0_NbAct100_area;1;3000;0.0362153
Simu_maxF1.0_NbAct100_area;1;3100;0.042431
Simu_maxF1.0_NbAct100_area;1;3200;0.0848287
Simu_maxF1.0_NbAct100_area;1;3300;0.0408336
Simu_maxF1.0_NbAct100_area;1;3400;0.035179
Simu_maxF1.0_NbAct100_area;1;3500;0.0420151
Simu_maxF1.0_NbAct100_area;1;3600;0.0413382
Simu_maxF1.0_NbAct100_area;1;3700;0.0363538
Simu_maxF1.0_NbAct100_area;1;3800;0.011351
Simu_maxF1.0_NbAct100_area;1;3900;0.0458215
Simu_maxF1.0_NbAct100_area;1;0;0.0352724
Simu_maxF1.0_NbAct100_area;2;0;0.0352724
Simu_maxF1.0_NbAct100_area;2;100;0.0387999
Simu_maxF1.0_NbAct100_area;2;200;0.027535
Simu_maxF1.0_NbAct100_area;2;300;0.0576325
Simu_maxF1.0_NbAct100_area;2;400;0.0163931
Simu_maxF1.0_NbAct100_area;2;500;0.0194831
Simu_maxF1.0_NbAct100_area;2;600;0.0414011
Simu_maxF1.0_NbAct100_area;2;700;0.0305943
Simu_maxF1.0_NbAct100_area;2;800;0.0340562
Simu_maxF1.0_NbAct100_area;2;900;0.0336417
Simu_maxF1.0_NbAct100_area;2;1000;0.0360692
Simu_maxF1.0_NbAct100_area;2;1100;0.0245976
Simu_maxF1.0_NbAct100_area;2;1200;0.0298936
Simu_maxF1.0_NbAct100_area;2;1300;0.0381983
Simu_maxF1.0_NbAct100_area;2;1400;0.0446861
Simu_maxF1.0_NbAct100_area;2;1500;0.0436826
Simu_maxF1.0_NbAct100_area;2;1600;0.019595
Simu_maxF1.0_NbAct100_area;2;1700;0.0359706
Simu_maxF1.0_NbAct100_area;2;1800;0.0640897
Simu_maxF1.0_NbAct100_area;2;1900;0.0358541
Simu_maxF1.0_NbAct100_area;2;2000;0.0232227
Simu_maxF1.0_NbAct100_area;2;2100;0.0381297
Simu_maxF1.0_NbAct100_area;2;2200;0.0378963
Simu_maxF1.0_NbAct100_area;2;2300;0.0359002
Simu_maxF1.0_NbAct100_area;2;2400;0.0550767
Simu_maxF1.0_NbAct100_area;2;2500;0.0307535
Simu_maxF1.0_NbAct100_area;2;2600;0.0369328
Simu_maxF1.0_NbAct100_area;2;2700;0.0402497
Simu_maxF1.0_NbAct100_area;2;2800;0.0634464
Simu_maxF1.0_NbAct100_area;2;2900;0.0493522
Simu_maxF1.0_NbAct100_area;2;3000;0.0386814
Simu_maxF1.0_NbAct100_area;2;3100;0.0393092
Simu_maxF1.0_NbAct100_area;2;3200;0.0271323
Simu_maxF1.0_NbAct100_area;2;3300;0.0434516
Simu_maxF1.0_NbAct100_area;2;3400;0.00403647
Simu_maxF1.0_NbAct100_area;2;3500;0.0451568
Simu_maxF1.0_NbAct100_area;2;3600;0.0156686
Simu_maxF1.0_NbAct100_area;2;3700;0.0162548
Simu_maxF1.0_NbAct100_area;2;3800;0.0335905
Simu_maxF1.0_NbAct100_area;2;3900;0.0381371
Simu_maxF1.0_NbAct100_area;2;0;0.0352724
Simu_maxF1.0_NbAct100_area;3;0;0.0352724
Simu_maxF1.0_NbAct100_area;3;100;0.03818
Simu_maxF1.0_NbAct100_area;3;200;0.0254302
Simu_maxF1.0_NbAct100_area;3;300;0.0354315
Simu_maxF1.0_NbAct100_area;3;400;0.0356642
Simu_maxF1.0_NbAct100_area;3;500;0.0375669
Simu_maxF1.0_NbAct100_area;3;600;0.0481818
Simu_maxF1.0_NbAct100_area;3;700;0.0345855
Simu_maxF1.0_NbAct100_area;3;800;0.0303821
Simu_maxF1.0_NbAct100_area;3;900;0.0386314
Simu_maxF1.0_NbAct100_area;3;1000;0.0395556
Simu_maxF1.0_NbAct100_area;3;1100;0.0240695
Simu_maxF1.0_NbAct100_area;3;1200;0.0369261
Simu_maxF1.0_NbAct100_area;3;1300;0.0240124
Simu_maxF1.0_NbAct100_area;3;1400;0.0352469
Simu_maxF1.0_NbAct100_area;3;1500;0.0289241
