Name;Episode;Step;RecircArea
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;100;0.0341289
Simu_maxF1.0_NbAct50_area;1;200;0.0354793
Simu_maxF1.0_NbAct50_area;1;300;0.0476325
Simu_maxF1.0_NbAct50_area;1;400;0.0347576
Simu_maxF1.0_NbAct50_area;1;500;0.0229255
Simu_maxF1.0_NbAct50_area;1;600;0.0355707
Simu_maxF1.0_NbAct50_area;1;700;0.0378401
Simu_maxF1.0_NbAct50_area;1;800;0.0442979
Simu_maxF1.0_NbAct50_area;1;900;0.0414116
Simu_maxF1.0_NbAct50_area;1;1000;0.0237682
Simu_maxF1.0_NbAct50_area;1;1100;0.0254212
Simu_maxF1.0_NbAct50_area;1;1200;0.0357276
Simu_maxF1.0_NbAct50_area;1;1300;0.0407306
Simu_maxF1.0_NbAct50_area;1;1400;0.0428023
Simu_maxF1.0_NbAct50_area;1;1500;0.0255182
Simu_maxF1.0_NbAct50_area;1;1600;0.0403632
Simu_maxF1.0_NbAct50_area;1;1700;0.0268125
Simu_maxF1.0_NbAct50_area;1;1800;0.0396078
Simu_maxF1.0_NbAct50_area;1;1900;0.0387057
Simu_maxF1.0_NbAct50_area;1;2000;0.0233832
Simu_maxF1.0_NbAct50_area;1;2100;0.0373122
Simu_maxF1.0_NbAct50_area;1;2200;0.0233936
Simu_maxF1.0_NbAct50_area;1;2300;0.0371532
Simu_maxF1.0_NbAct50_area;1;2400;0.0244069
Simu_maxF1.0_NbAct50_area;1;2500;0.032372
Simu_maxF1.0_NbAct50_area;1;2600;0.0299221
Simu_maxF1.0_NbAct50_area;1;2700;0.0424989
Simu_maxF1.0_NbAct50_area;1;2800;0.00816104
Simu_maxF1.0_NbAct50_area;1;2900;0.0339281
Simu_maxF1.0_NbAct50_area;1;3000;0.0348525
Simu_maxF1.0_NbAct50_area;1;3100;0.0368039
Simu_maxF1.0_NbAct50_area;1;3200;0.0297735
Simu_maxF1.0_NbAct50_area;1;3300;0.0301723
Simu_maxF1.0_NbAct50_area;1;3400;0.0312902
Simu_maxF1.0_NbAct50_area;1;3500;0.0294742
Simu_maxF1.0_NbAct50_area;1;3600;0.0262302
Simu_maxF1.0_NbAct50_area;1;3700;0.029835
Simu_maxF1.0_NbAct50_area;1;3800;0.0314914
Simu_maxF1.0_NbAct50_area;1;3900;0.0317977
Simu_maxF1.0_NbAct50_area;1;0;0.0352724
Simu_maxF1.0_NbAct50_area;2;0;0.0352724
Simu_maxF1.0_NbAct50_area;2;100;0.0377038
Simu_maxF1.0_NbAct50_area;2;200;0.0351614
Simu_maxF1.0_NbAct50_area;2;300;0.0323645
Simu_maxF1.0_NbAct50_area;2;400;0.0358043
Simu_maxF1.0_NbAct50_area;2;500;0.0293083
Simu_maxF1.0_NbAct50_area;2;600;0.0375
Simu_maxF1.0_NbAct50_area;2;700;0.0297317
Simu_maxF1.0_NbAct50_area;2;800;0.0367064
Simu_maxF1.0_NbAct50_area;2;900;0.0387975
Simu_maxF1.0_NbAct50_area;2;1000;0.0363523
Simu_maxF1.0_NbAct50_area;2;1100;0.0408681
Simu_maxF1.0_NbAct50_area;2;1200;0.031513
Simu_maxF1.0_NbAct50_area;2;1300;0.0209772
Simu_maxF1.0_NbAct50_area;2;1400;0.043393
Simu_maxF1.0_NbAct50_area;2;1500;0.0339946
Simu_maxF1.0_NbAct50_area;2;1600;0.0329857
Simu_maxF1.0_NbAct50_area;2;1700;0.0432668
Simu_maxF1.0_NbAct50_area;2;1800;0.0349305
Simu_maxF1.0_NbAct50_area;2;1900;0.0291395
Simu_maxF1.0_NbAct50_area;2;2000;0.0320634
Simu_maxF1.0_NbAct50_area;2;2100;0.0417189
Simu_maxF1.0_NbAct50_area;2;2200;0.0373117
Simu_maxF1.0_NbAct50_area;2;2300;0.0377278
